"Forfatter-Escritor","Land-País","Tittel1-Título","1","Sjanger-Género","Oversetter-Traductor","Tittel2-Título","Utgivelsessted-Lugar de publicación","Utgivelsesår2-Año de publicación","Forlag-Editorial","For- eller Etterord-Prólogo o Epílogo","Språk-Idioma"
"Andahazi, Federico (1963)","Argentina","El anatomista","1997","Roman/Novela","Rugstad, Christian","Anatomen","Oslo","1998","Cappelen","","Norsk bokmål/Noruego"
"Aira, César (1949)","Argentina","Un episodio en la vida del pintor viajero","2000","Roman/Novela","Risvik, Kari og/y Kjell Risvik","En episode i en omreisende malers liv","Oslo","2010","Hovde&Brekke","","Norsk bokmål/Noruego"
"Bioy Casares, Adolfo (1914-1999)","Argentina","La invención de Morel","1940","Roman/Novela","Rugstad, Christian","Morels oppfinnelse ","Oslo","2010","Gyldendal","","Norsk bokmål/Noruego"
"Borges, Jorge Luis (1899-1986)","Argentina","Ficciones","1944","Novelle/Cuento","Aasen, Finn","Labyrinter","Oslo","1964, 1993, 1994","Cappelen","Enzensberger, Hans Magnus (Etterord/Epílogo)","Norsk bokmål/Noruego"
"Borges, Jorge Luis (1899-1986)","Argentina","Historia universal de la infamia","1935","Novelle/Cuento","Risvik, Kari og/y Kjell Risvik","Samlede fiksjoner","Oslo","2010, 2013","Agora","","Norsk bokmål/Noruego"
"Borges, Jorge Luis (1899-1986)","Argentina","Ficciones ","1944","Novelle/Cuento","Risvik, Kari og/y Kjell Risvik","Samlede fiksjoner","Oslo","2010, 2013","Agora","","Norsk bokmål/Noruego"
"Borges, Jorge Luis (1899-1986)","Argentina","El Aleph","1949","Novelle/Cuento","Risvik, Kari og/y Kjell Risvik","Samlede fiksjoner","Oslo","2010, 2013","Agora","","Norsk bokmål/Noruego"
"Borges, Jorge Luis (1899-1986)","Argentina","El hacedor","1960","Lyrikk/Poesía","Risvik, Kari og/y Kjell Risvik","Samlede fiksjoner","Oslo","2010, 2013","Agora","","Norsk bokmål/Noruego"
"Borges, Jorge Luis (1899-1986)","Argentina","Elogio de la sombra","1969","Lyrikk/Poesía","Risvik, Kari og/y Kjell Risvik","Samlede fiksjoner","Oslo","2010, 2013","Agora","","Norsk bokmål/Noruego"
"Borges, Jorge Luis (1899-1986)","Argentina","El informe Brodie","1970","Novelle/Cuento","Risvik, Kari og/y Kjell Risvik","Samlede fiksjoner","Oslo","2010, 2013","Agora","","Norsk bokmål/Noruego"
"Borges, Jorge Luis (1899-1986)","Argentina","El libro de arena","1975","Novelle/Cuento","Risvik, Kari og/y Kjell Risvik","Samlede fiksjoner","Oslo","2010, 2013","Agora","","Norsk bokmål/Noruego"
"Borges, Jorge Luis (1899-1986)","Argentina","La memoria de Shakespeare","1983","Novelle/Cuento","Risvik, Kari og/y Kjell Risvik","Samlede fiksjoner","Oslo","2010, 2013","Agora","","Norsk bokmål/Noruego"
"Cortázar, Julio (1914-1984)","Argentina","Bestiario","1951","Novelle/Cuento","Risvik, Kjell - Språkrevidert av Christian Rugstad (2014)","Seremonier: noveller","Oslo","1970, 1994, 2014","Gyldendal","Gisle Selnes (2014)","Norsk bokmål/Noruego"
"Cortázar, Julio (1914-1984)","Argentina","Final del juego","1956","Novelle/Cuento","Risvik, Kjell - Språkrevidert av Christian Rugstad (2014)","Seremonier: noveller","Oslo","1970, 1994, 2014","Gyldendal","Gisle Selnes (2014)","Norsk bokmål/Noruego"
"Cortázar, Julio (1914-1984)","Argentina","Las armas secretas","1959","Novelle/Cuento","Risvik, Kjell - Språkrevidert av Christian Rugstad (2014)","Seremonier: noveller ","Oslo","1970, 1994, 2014","Gyldendal","Gisle Selnes (2014)","Norsk bokmål/Noruego"
"Cortázar, Julio (1914-1984)","Argentina","Todos los fuegos, el fuego","1966","Novelle/Cuento","Risvik, Kjell - Språkrevidert av Christian Rugstad (2014)","Seremonier: noveller","Oslo","1970, 1994, 2014","Gyldendal","Gisle Selnes (2014)","Norsk bokmål/Noruego"
"Cortázar, Julio (1914-1984)","Argentina","Rayuela","1963","Roman/Novela","Rugstad, Christian","Paradis","Oslo","1999","Solum","","Norsk bokmål/Noruego"
"Martínez, Tomás Eloy (1934-2010)","Argentina","Santa Evita","1995","Roman/Novela","Kemény, Kari","Santa Evita","Oslo","1997","Aschehoug","","Norsk bokmål/Noruego"
"Martínez, Guillermo (1962)","Argentina","Acerca de Roderer","1996","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Om Roderer","Oslo","1995","Pax","","Norsk bokmål/Noruego"
"Martínez, Guillermo (1962)","Argentina","Crímenes imperceptibles","2003","Roman/Novela","Kristiansen, Halvor","Forbrytelsene i Oxford","Oslo","2008","Gyldendal","","Norsk bokmål/Noruego"
"Puig, Manuel (1932-1980)","Argentina","El beso de la mujer araña","1976","Roman/Novela","Gjerløw, Turid","Edderkoppkvinen skyss","Oslo","1992, 1997, 2006","Aschehoug","Worren, Arne (Etterord/Epílogo)","Norsk bokmål/Noruego"
"Saer, Juan José (1937-2005)","Argentina","La ocasión","1987","Roman/Novela","Rugstad, Christian","Affæren","Oslo","2006","Gyldendal","","Norsk bokmål/Noruego"
"Arguedas, José María (1911-1969)","Perú","Los ríos profundos","1958","Roman/Novela","Risvik, Kjell","De dype floder","Oslo","1978","Gyldendal","","Norsk bokmål/Noruego"
"Scorza, Manuel (1928-1983)","Perú","Historia de Garabombo, el invisible","1972","Roman/Novela","Gjerløw, Turid","Garabombo den usynlige","Oslo","1977","Aschehoug","","Norsk bokmål/Noruego"
"Vargas Llosa, Mario (1936)","Perú","Los cachorros","1967","Roman/Novela","Giertsen, Fredrik","Valpene","Oslo","2010","Gyldendal","","Norsk bokmål/Noruego"
"Vargas Llosa, Mario (1936)","Perú","Pantaleón y las visitadoras","1973","Roman/Novela","Risvik, Kjell","Pantaleon og tjenerinnene","Oslo","1974","Gyldendal","","Norsk bokmål/Noruego"
"Vargas Llosa, Mario (1936)","Perú","La tía Julia y el escribidor","1977","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Tante Julia og han som skriver","Oslo","2007, 2010","Gyldendal","","Norsk bokmål/Noruego"
"Vargas Llosa, Mario (1936)","Perú","La guerra del fin del mundo","1981","Roman/Novela","Risvik, Kari og/y Kjell Risvik ","Dommedagskrigen ","Oslo","1982, 1992, 2001, 2010","Gyldendal","","Norsk bokmål/Noruego"
"Vargas Llosa, Mario (1936)","Perú","El hablador","1987","Roman/Novela","Risvik, Kjell","Han som snakker","Oslo","1991","Gyldendal","","Norsk bokmål/Noruego"
"Vargas Llosa, Mario (1936)","Perú","Elogio de la madastra","1988","Roman/Novela","Risvik, Kjell","Til stemorens pris","Oslo","1992","Gyldendal","","Norsk bokmål/Noruego"
"Vargas Llosa, Mario (1936)","Perú","Lituma en los Andes","1993","Roman/Novela","Risvik, Kjell","Lituma i Andesfjellene","Oslo","1995","Gyldendal","","Norsk bokmål/Noruego"
"Vargas Llosa, Mario (1936)","Perú","Los cuadernos de don Rigoberto","1997","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Rigobertos notatbøker","Oslo","1998","Gyldendal","","Norsk bokmål/Noruego"
"Vargas Llosa, Mario (1936)","Perú","La fiesta del chivo","2000","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Bukkefesten","Oslo","2003, 2004, 2010","Gyldendal","","Norsk bokmål/Noruego"
"Vargas Llosa, Mario (1936)","Perú","El paraíso en la otra esquina","2003","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Paradiset på det andre hjørnet","Oslo","2004, 2005","Gyldendal","","Norsk bokmål/Noruego"
"Vargas Llosa, Mario (1936)","Perú","Travesuras de la niña mala","2006","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Rampejenta","Oslo","2007, 2008","Gyldendal","","Norsk bokmål/Noruego"
"Cerda, Martha (1945)","México","Toda una vida","1998","Roman/Novela","Hammer, Hege","Vi som elsker hverandre så høyt","Oslo","1998, 1999","Gyldendal","","Norsk bokmål/Noruego"
"Esquivel, Laura (1950)","México","Como agua para chocolate","1989","Roman/Novela","Lange, Mona","Hjerter i chili føljetonroman med oppskrifter, kjærlighetshistorier og husråd","Oslo","1991, 1993, 2004, 2011","Aschehoug","","Norsk bokmål/Noruego"
"Esquivel, Laura (1950)","México","La ley del amor","1995","Roman/Novela","Rugstad, Christian","Kjærlighetens lov","Oslo","1997","Cappelen","","Norsk bokmål/Noruego"
"Fuentes, Carlos (1928)","México","La cabeza de la hidra","1978","Roman/Novela","Baggethun, Kirsti","Hydras hode","Oslo","1981","Pax","","Norsk bokmål/Noruego"
"Fuentes, Carlos (1928)","México","Cristóbal nonato","1987","Roman/Novela","Risvik, Kjell","Christofer ufødt","Oslo","1992","Gyldendal","","Norsk bokmål/Noruego"
"Fuentes, Carlos (1928)","México","Los años con Laura Díaz","1999","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Årene med Laura Díaz","Oslo","2002","Gyldendal","","Norsk bokmål/Noruego"
"Ibargüengoitia, Jorge (1928-1983)","México","Las muertas","1977","Roman/Novela","Seeberg, Axel S.","Jentene som forsvant","Oslo","1986","Oktober","","Norsk bokmål/Noruego"
"Pitol, Sergio (1933)","México","La vida conyugal","1991","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Et ekteskap","Oslo","2005","Gyldendal","","Norsk bokmål/Noruego"
"Rulfo, Juan (1917-1986)","México","Pedro Páramo","1955","Roman/Novela","Wollebæk, Per","Pedro Páramo","Oslo","1961","Cappelen","","Norsk bokmål/Noruego"
"Rulfo, Juan (1917-1986)","México","Pedro Páramo","1955","Roman/Novela","Rugstad, Christian","Pedro Páramo","Oslo","2004","Solum","Estévez, Abilio (Innledning/Introducción)","Norsk bokmål/Noruego"
"Gamboa, Santiago (1965)","Colombia","Los impostores","2001","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Bedragerne","Oslo","2004","Pax","","Norsk bokmål/Noruego"
"García Márquez, Gabriel (1927-2014)","Colombia","Cien años de soledad","1967","Roman/Novela","Risvik, Kjell","Hundre års ensomhet","Oslo","1970, 1978, 1983, 1990, 1993, 1998, 2003","Gyldendal","Worren, Arne (Etterord/Epílogo)","Norsk bokmål/Noruego"
"García Márquez, Gabriel (1927-2014)","Colombia","La increíble y triste historia de la cándida Eréndira y de su abuela desalmada","1972","Roman/Novela","Risvik, Kjell","Den utrolige og sørgelige historien om den troskydige Erendira og hennes hjerteløse bestemor","Oslo","1979","Gyldendal","","Norsk bokmål/Noruego"
"García Márquez, Gabriel (1927-2014)","Colombia","Crónica de una muerte anunciada","1981","Roman/Novela","Risvik, Kjell","Beretningen om et varslet mord","Oslo","1981, 1984, 1992, 1999, 2008","Gyldendal","","Norsk bokmål/Noruego"
"García Márquez, Gabriel (1927-2014)","Colombia","El amor en los tiempos del cólera","1985","Roman/Novela","Risvik, Kjell","Kjærlighet i koleraens tid","Oslo","1986, 1989, 1993, 1998, 2003, 2004, 2007, 2013","Gyldendal","Le Carré, John (Innledning/Introducción)","Norsk bokmål/Noruego"
"García Márquez, Gabriel (1927-2014)","Colombia","El general en su laberinto","1989","Roman/Novela","Risvik, Kjell","Generalen i sin labyrint","Oslo","1989, 1996, 2003","Gyldendal","","Norsk bokmål/Noruego"
"García Márquez, Gabriel (1927-2014)","Colombia","Doce cuentos peregrinos","1992","Novelle/Cuento","Risvik, Kjell","Tolv vandrehistorier","Oslo","1992, 1994","Gyldendal","","Norsk bokmål/Noruego"
"García Márquez, Gabriel (1927-2014)","Colombia","Del amor y otros demonios","1994","Roman/Novela","Risvik, Kjell","Om kjærlighet og andre demoner","Oslo","1994, 1995","Gyldendal","","Norsk bokmål/Noruego"
"García Márquez, Gabriel (1927-2014)","Colombia","Noticia de un secuestro","1996","Roman/Novela","Risvik, Kjell","Kidnappet","Oslo","1996","Gyldendal","","Norsk bokmål/Noruego"
"García Márquez, Gabriel (1927-2014)","Colombia","Vivir para contarla","2002","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Leve, for å fortelle","Oslo","2003, 2004","Gyldendal","","Norsk bokmål/Noruego"
"García Márquez, Gabriel (1927-2014)","Colombia","Memoria de mis putas tristes","2004","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Alle mine triste horer","Oslo","2005, 2006","Gyldendal","","Norsk bokmål/Noruego"
"Vásquez, Juan Gabriel (1973)","Colombia","Los informantes","2004","Roman/Novela","Schuff, Hildegunn Marie Tønnessen","Informantene","Oslo","2010","Livro","","Norsk bokmål/Noruego"
"Benedetti, Mario (1920-2009)","Uruguay","La tregua","1960","Roman/Novela","Nilsson, Kåre","Nådetid","Oslo","1984","Gyldendal","","Norsk bokmål/Noruego"
"Galeano, Eduardo (1940)","Uruguay","Memoria del fuego","19821986","Roman/Novela","Swensen, Kai","Ildens erindring","Oslo","1998-1999","Pax","","Norsk bokmål/Noruego"
"Quiroga, Horacio (1878-1937)","Uruguay","Cuentos de amor, de locura y de muerte","1917","Novelle/Cuento","Rugstad, Christian","Fortellinger om kjærlighet, galskap og død","Oslo","2003","Solum","","Norsk bokmål/Noruego"
"Allende, Isabel (1942)","Chile","La casa de los espíritus","1982","Roman/Novela","Risvik, Kjell","Åndenes hus","Oslo","1984, 1988, 1996, 2000, 2001, 2005, 2006, 2010, 2011","Gyldendal","","Norsk bokmål/Noruego"
"Allende, Isabel (1942)","Chile","De amor y de sombra","1984","Roman/Novela","Risvik, Kjell","Om kjærlighet og skygge","Oslo","1986, 1989, 1991","Gyldendal","","Norsk bokmål/Noruego"
"Allende, Isabel (1942)","Chile","Eva Luna","1987","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Eva Luna","Oslo","1988, 1989, 1994, 2006","Gyldendal","","Norsk bokmål/Noruego"
"Allende, Isabel (1942)","Chile","Cuentos de Eva Luna","1989","Novelle/Cuento","Risvik, Kjell","Eva Luna forteller","Oslo","1990, 1997, 2001","Gyldendal","","Norsk bokmål/Noruego"
"Allende, Isabel (1942)","Chile","El plan infinito","1991","Roman/Novela","Risvik, Kjell","Den endeløse planen","Oslo","1992, 1993, 2002","Gyldendal","","Norsk bokmål/Noruego"
"Allende, Isabel (1942)","Chile","Paula","1994","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Paula","Oslo","1995, 1996, 1997, 1999, 2000, 2006","Gyldendal","","Norsk bokmål/Noruego"
"Allende, Isabel (1942)","Chile","Afrodita","1997","Novelle/Cuento","Risvik, Kari og/y Kjell Risvik","Afrodite: fortellinger og andreafrodisiaka","Oslo","1998","Gyldendal","","Norsk bokmål/Noruego"
"Allende, Isabel (1942)","Chile","Hija de la fortuna","1999","Roman/Novela","Risvik, Kari og/y Kjell Risvik","En lykkens datter","Oslo","1999, 2000, 2003","Gyldendal","","Norsk bokmål/Noruego"
"Allende, Isabel (1942)","Chile","Retrato en sepia","2000","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Aurora: et portrett i sepia","Oslo","2001, 2002","Gyldendal","","Norsk bokmål/Noruego"
"Allende, Isabel (1942)","Chile","La ciudad de las bestias","2002","Roman/Novela","Risvik, Kari og/y Kjell Risvik","De ville guders by","Oslo","2001, 2002","Gyldendal","","Norsk bokmål/Noruego"
"Allende, Isabel (1942) ","Chile","Mi país inventado","2003","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Mitt oppdiktede land","Oslo","2004","Gyldendal","","Norsk bokmål/Noruego"
"Allende, Isabel (1942)","Chile","El reino del dragón de oro","2003","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Gulldragens rike","Oslo","2003","Gyldendal","","Norsk bokmål/Noruego"
"Allende, Isabel (1942)","Chile","El bosque de los pigmeos","2004","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Pygmeenes skog","Oslo","2004","Gyldendal","","Norsk bokmål/Noruego"
"Allende, Isabel (1942)","Chile","El Zorro: comienza la leyenda","2005","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Zorro: ukjente år","Oslo","2005, 2006","Gyldendal","","Norsk bokmål/Noruego"
"Allende, Isabel (1942) ","Chile","Inés del alma mía","2006","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Inés, jeg elsker deg","Oslo","2006, 2007","Gyldendal","","Norsk bokmål/Noruego"
"Allende, Isabel (1942)","Chile","La suma de los días","2007","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Summen av dagene","Oslo","2008","Gyldendal","","Norsk bokmål/Noruego"
"Allende, Isabel (1942)","Chile","La isla bajo el mar","2010","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Øya under havet","Oslo","2011","Gyldendal","","Norsk bokmål/Noruego"
"Bolaño, Roberto (1953-2003)","Chile","Los detectives salvajes","1998","Roman/Novela","Solum, Kristina","Ville detektiver","Oslo","2009, 2010","Solum","","Norsk bokmål/Noruego"
"Bolaño, Roberto (1953-2003) ","Chile","Nocturno de Chile","2000","Roman/Novela","Rugstad, Christian","Chilensk nokturne","Oslo","2007","Solum","","Norsk bokmål/Noruego"
"Edwards, Jorge (1931)","Chile","El sueño de la historia","2000","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Drøm og historie","Oslo","2003","Gyldendal","","Norsk bokmål/Noruego"
"Sepúlveda, Luis (1949)","Chile","Un viejo que leía novelas de amor","1989","Roman/Novela","Rugstad, Christian","Den gamle mannen som leste kjærlighetsromaner","Oslo","1996, 2005","Gyldendal","","Norsk bokmål/Noruego"
"Sepúlveda, Luis (1949)","Chile","Historia de una gaviota y del gato que le enseñó a volar","1996","Roman/Novela","Magnus, Jon","Historien om en måke og om katten som lærte henne å fly","Drøbak","2004","Salsa","","Norsk bokmål/Noruego"
"Skármeta, Antonio (1940)","Chile","Ardiente paciencia (El cartero de Neruda)","1985","Roman/Novela","Ofstad, Knut","Postmannen og Pablo Neruda","Oslo","1998, 2006","Den norske bokklubben","Hansen, Inger Elisabeth (Etterord/Epílogo)","Norsk bokmål/Noruego"
"Asturias, Miguel Ángel (1899-1974)","Guatemala","El señor Presidente","1946","Roman/Novela","Seeberg, Axel S.","Herr presidenten","Oslo","1966","Tiden","","Norsk bokmål/Noruego"
"Asturias, Miguel Ángel (1899-1974)","Guatemala","El papa verde","1954","Roman/Novela","Seeberg, Axel S.","Den grønne paven","Oslo","1970","Tiden","","Norsk bokmål/Noruego"
"Asturias, Miguel Ángel (1960)","Guatemala","Los ojos de los enterrados","1960","Roman/Novela","Seeberg, Axel S.","De begravdes øyne","Oslo","1972","Tiden","","Norsk bokmål/Noruego"
"Carpentier, Alejo (1904-1980)","Cuba","El reino de este mundo","1949","Roman/Novela","Risvik, Kjell","Riket av denne verden","Oslo","1978","Gyldendal","","Norsk bokmål/Noruego"
"Carpentier, Alejo (1904-1980)","Cuba","El recurso del método","1974","Roman/Novela","Risvik, Kjell","Metoden: roman","Oslo","1976","Gyldendal","","Norsk bokmål/Noruego"
"Chaviano, Daína (1960)","Cuba","La isla de los amores infinitos","2006","Roman/Novela","Kolstad, Eli Zwaig","Mitt elskede Havanna","Oslo","2008","Gyldendal","","Norsk bokmål/Noruego"
"Estévez, Abilio (1954)","Cuba","Los palacios distantes","2002","Roman/Novela","Risvik, Kari og/y Kjell Risvik","De fjerne palasser","Oslo","2005","Aschehoug","","Norsk bokmål/Noruego"
"Gutiérrez, Pedro Juan (1950)","Cuba","Trilogía sucia de la Habana","1998","Roman/Novela","Hammer, Hege","Den skitne Havannatrilogien","Oslo","2005, 2006","Gyldendal","","Norsk bokmål/Noruego"
"Lezama Lima, José (1910-1976)","Cuba","Paradiso","1966","Roman/Novela","Risvik, Kjell","Paradiso","Oslo","2002","Pax","","Norsk bokmål/Noruego"
"Castellanos Moya, Horacio (1957)","El Salvador","Insensatez","2004","Roman/Novela","Tønsth, Jan Jakob","Vannvidd","Oslo","2010","Cappelen-Damm","","Norsk bokmål/Noruego"
"Asensi, Matilde (1962)","España","El último Catón","2001","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Den siste Cato","Oslo","2008","Orion","","Norsk bokmål/Noruego"
"Azúa, Félix de (1944)","España","Diario de un hombre humillado","1987","Roman/Novela","Worren, Arne","En ydmyket manns dagbok","Oslo","1990","Gyldendal","","Norsk bokmål/Noruego"
"Barceló, Elia (1957)","España","El secreto del orfebre","2003","Roman/Novela","Hammer, Hege","Gullsmedens hemmelighet","Oslo","2006","Gyldendal","","Norsk bokmål/Noruego"
"Barceló, Elia (1957)","España","Disfraces terribles","2004","Roman/Novela","Kristiansen, Halvor","Gåtefulle masker","Oslo","2008","Gyldendal","","Norsk bokmål/Noruego"
"Calderón, Emilio (1960)","España","El mapa del creador","2006","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Skaperens kart","Oslo","2007, 2008","Aschehoug","","Norsk bokmål/Noruego"
"Cela, Camilo José (1916-2002)","España","La familia de Pascual Duarte","1942","Roman/Novela","Risvik, Kjell","Pascual Duartes familia","Oslo","1978","Gyldendal","","Norsk bokmål/Noruego"
"Cela, Camilo José (1916-2010)","España","La colmena","1951","Roman/Novela","Risvik, Kjell","Bikuben","Oslo","1990, 1993","Gyldendal","","Norsk bokmål/Noruego"
"Cela, Camilo José (1916-2002)","España","Mazurca para dos muertos","1983","Roman/Novela","Risvik, Kjell","Masurka for to døde","Lysaker","1989","Adrian","","Norsk bokmål/Noruego"
"Cercas, Javier (1962)","España","Soldado de Salamina","2001","Roman/Novela","Rugstad, Christian","Stridsmenn fra Salamis","Oslo","2007","Aschehoug","","Norsk bokmål/Noruego"
"Cercas, Javier (1962)","España","La velocidad de la luz","2005","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Lysets hastighet","Oslo","2008, 2010","Bazar","","Norsk bokmål/Noruego"
"Chirbes, Rafael (1949)","España","La larga marcha","1996","Roman/Novela","Swensen, Kai","Den lange marsjen","Oslo","2000","Gyldendal","","Norsk bokmål/Noruego"
"Delibes, Miguel (1920-2010)","España","Cinco horas con Mario","1966","Roman/Novela","Solum, Kristina","Fem timer med Mario","Oslo","2005","Solum","","Norsk bokmål/Noruego"
"Etxebarría, Lucía (1966)","España","Amor, curiosidad, prozac y dudas","1997","Roman/Novela","Kemény, Kari","Kjærlighet, nysgjerrighet, prozac og tvil","Oslo","1999, 2000","Ex-Libris","","Norsk bokmål/Noruego"
"Etxebarría, Lucía (1966)","España","Beatriz y los cuerpos celestes: una novela rosa","1998","Roman/Novela","Kemény, Kari","Beatriz og himmellegerne: en rosa roman","Oslo","2001","Damm","","Norsk bokmål/Noruego"
"Falcones, Ildefonso (1958)","España","La catedral del mar","2006","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Havets katedral","Oslo","2008, 2009","Bazar","","Norsk bokmål/Noruego"
"Falcones, Ildefonso (1958)","España","La mano de Fátima","2009","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Fatimas hånd","Oslo","2010, 2011, 2012","Bazar","","Norsk bokmål/Noruego"
"Fernández Cubas, Cristina (1945)","España","El año de Gracia","1985","Roman/Novela","Faltin, Tine","Nådens år","Oslo","1991","Gyldendal","","Norsk bokmål/Noruego"
"Fortes, Susana (1959)","España","El amante albanés","2003","Roman/Novela","Kristiansen, Halvor","Den albanske elskeren","Oslo","2006","Gyldendal","","Norsk bokmål/Noruego"
"Giménez Bartlett, Alicia (1959)","España","Un barco cargado de arroz","2004","Roman/Novela","Hagerup, Henning","Mørke netter i Barcelona","Oslo","2010, 2011, 2012, 2013","Juritzen","","Norsk bokmål/Noruego"
"Gómez-Jurado, Juan (1977)","España","Espía de Dios","2006","Roman/Novela","Kristiansen, Halvor","Guds spion","Oslo","2007, 2008","Gyldendal","","Norsk bokmål/Noruego"
"Gómez-Jurado, Juan (1977)","España","Contrato con Dios (Contrato al paraíso)","2007","Roman/Novela","Kristiansen, Halvor","Kontrakt med Gud","Oslo","2009, 2011","Gyldendal","","Norsk bokmål/Noruego"
"Grandes, Almudena (1960)","España","Las edades de Lulú","1989","Roman/Novela","Baggethun, Kirsti","Lulú: en erotisk roman","Oslo","1992, 2006","Tiden","","Norsk bokmål/Noruego"
"Laforet, Carmen (1921-2004)","España","Nada","1944","Roman/Novela","Näumann, Kari","Ingenting","Oslo","2002","Bokvennen","","Norsk bokmål/Noruego"
"Lago, Eduardo (1954)","España","Llámame Brooklyn","2006","Roman/Novela","Rugstad, Christian","Kall meg Brooklyn","Oslo","2008","Gyldendal","","Norsk bokmål/Noruego"
"Landero, Luis (1948)","España","Juegos de la edad tardía","1989","Roman/Novela","Risvik, Kjell","Lek i fremskreden alder","Oslo","1991","Gyldendal","","Norsk bokmål/Noruego"
"Landero, Luis (1948)","España","Caballeros de fortuna","1994","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Lykkeridderne","Oslo","1995","Gyldendal","","Norsk bokmål/Noruego"
"Llamazares, Julio (1955)","España","La lluvia amarilla","1988","Roman/Novela","Lange, Mona","Det gule regnet","Oslo","1991","Aschehoug","","Norsk bokmål/Noruego"
"Marías, Javier (1951)","España","Corazón tan blanco","1992","Roman/Novela","Worren, Arne","Det feige hjerte","Oslo","1996","Gyldendal","","Norsk bokmål/Noruego"
"Marías, Javier (1951)","España","Mañana en la batalla piensa en mí","1995","Roman/Novela","Worren, Arne","I morgen under slaget tenk på meg","Oslo","1998","Gyldendal","","Norsk bokmål/Noruego"
"Mendoza, Eduardo (1943)","España","La verdad sobre el caso Savolta","1975","Roman/Novela","Risvik, Kjell","Sannheten om Savolta-saken","Oslo","1990","Gyldendal","","Norsk bokmål/Noruego"
"Mendoza, Eduardo (1943)","España","El misterio de la cripta embrujada","1978","Roman/Novela","Kemény, Kari","Mysteriet i den forheksede krypt","Oslo","1985","Aschehoug","","Norsk bokmål/Noruego"
"Mendoza, Eduardo (1943)","España","La ciudad de los prodigios","1986","Roman/Novela","Risvik, Kjell","Miraklenes by","Oslo","1988, 2013","Gyldendal","","Norsk bokmål/Noruego"
"Mendoza, Eduardo (1943)","España","La isla inaudita","1989","Roman/Novela","Risvik, Kjell","En forunderlig øy","Oslo","1997","Gyldendal","","Norsk bokmål/Noruego"
"Mendoza, Eduardo (1943)","España","Una comedia ligera","1996","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Et lystspill","Oslo","1999","Gyldendal","","Norsk bokmål/Noruego"
"Millás, Juan José (1946)","España","El desorden de tu nombre","1988","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Navn ukjent","Oslo","1990","Aschehoug","","Norsk bokmål/Noruego"
"Millás, Juan José (1946)","España","La soledad era esto","1990","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Dette var ensomheten","Oslo","1992","Aschehoug","","Norsk bokmål/Noruego"
"Millás, Juan José (1946)","España","Tonto, muerto, bastardo e invisible","1995","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Dum, død, uekte og usynlig","Oslo","1996","Aschehoug","","Norsk bokmål/Noruego"
"Montero, Rosa (1951)","España","Te trataré como a una reina","1983","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Som en dronning","Oslo","1991","Cappelen","","Norsk bokmål/Noruego"
"Moriel, Enrique (1927)","España","La ciudad sin tiempo","2007","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Byen uten tid","Oslo","2010","Bazar","","Norsk bokmål/Noruego"
"Muñoz Molina, Antonio (1956)","España","El invierno en Lisboa","1987","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Vinteren i Lisboa","Oslo","1998","Gyldendal","","Norsk bokmål/Noruego"
"Muñoz Molina, Antonio (1956)","España","El jinete polaco","1991","Roman/Novela","Risvik, Kjell","Den polske rytter","Oslo","1993","Gyldendal","","Norsk bokmål/Noruego"
"Muñoz Molina, Antonio (1956)","España","Plenilunio","1997","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Fullmåne","Oslo","2000","Gyldendal","","Norsk bokmål/Noruego"
